UUID,Modified,Item,Replacement Value,Replacement Currency,Purchase Price,Purchase Currency,Quantity,Retailer,Purchase Date,Warranty Months,Warranty Expiry,Warranty Info,Make,Model,Serial No,Property,Location,Categories,Notes,Photos
1A9D5D9B-2BC4-43E3-85D8-1B87C0FB6EBB,2026-01-17T17:35:01.978,Borsellino tessuto e pelle,,,,,1,,,,,,,,K004,Home,Giappone,BX018,,"IMG787330550439.jpg
IMG787330604000.jpg
IMG787330687264.jpg"
72545A3D-82DF-4ADE-B994-DC3296A83F99,2025-12-13T17:43:24.387,Hagoita tavoletta decorativa vintage anni 60-70,,,,,1,,,,,,,,K006,Home,Giappone,,,"IMG787336585856.jpg
IMG787336968721.jpg
IMG787336978060.jpg"
AF6F1F02-3B48-4897-AF41-970396D99B12,2026-01-17T17:34:31.158,Hagoita tavolette decorative vintage anni 60-70,,,,,1,,,,,,,,K007,Home,Giappone,BX018,,"IMG787335883241.jpg
IMG787335883309.jpg
IMG787335883401.jpg
IMG787335883516.jpg
IMG787335883584.jpg
IMG787335883663.jpg"
17FD2DA7-223B-47B6-9C1C-5B6DE4424B2F,2026-01-17T17:35:15.065,Porta occhiali eco pelle blu scuro,,,,,1,,,,,,,,K003,Home,Giappone,BX018,,"IMG787330085303.jpg
IMG787330262757.jpg"
2C40E800-76E7-4C02-8B1D-9D968C6BE982,2026-01-17T17:34:51.820,Specchio piccolo in legno fiori di ciliegio,,,,,1,,,,,,,,K005,Home,Giappone,BX018,,"IMG787331234488.jpg
IMG787331248371.jpg
IMG787331259177.jpg"
02E426CE-B091-4F13-A865-AABAFB86D610,2026-01-17T17:35:46.377,Vaso piccolo in ghisa da appendere,,,,,1,,,,,,,,K002,Home,Giappone,BX018,,"IMG787329557908.jpg
IMG787329557973.jpg
IMG787329558064.jpg
IMG787329558134.jpg"
2F47C59F-707F-4917-B947-E4A2E777A6A1,2025-11-23T16:33:52.686,Vaso fiori rosa grande,,,,,1,,,,,,,,K001,Home,Dining Room,,,"IMG785604688290.jpg
IMG785604737935.jpg"
8055791A-2171-4181-879E-76E22BCBC9CC,2026-01-17T17:32:38.676,Accessorio capelli per kimono con scatola di legno,,,,,1,,,,,,,,K012,Home,Giappone,BX018,,"IMG790354023769.jpg
IMG790354023846.jpg
IMG790354023928.jpg
IMG790354024019.jpg
IMG790354252008.jpg
IMG790354252087.jpg"

CDDE9304-8BAF-40A7-8364-29A095C21927,2026-01-17T17:31:45.752,Campanellini terracotta,,,,,1,,,,,,,,K016,Home,Giappone,BX018,,"IMG790355348148.jpg
IMG790355348224.jpg
IMG790355348302.jpg
IMG790355348379.jpg"
89AC7785-B9DF-404D-A841-381287812042,2026-01-17T16:35:18.512,Cestino,,,,,1,,,,,,,,K024,Home,Giappone,,,"IMG790356898911.jpg
IMG790356899036.jpg
IMG790356899126.jpg"
FAB261AD-22E2-42C3-8E73-4E2430BF9B50,2026-01-17T17:29:34.883,Cestino con coperchio in scatola di cartone,,,,,1,,,,,,,,K021,Home,Giappone,BX018,,"IMG790356286762.jpg
IMG790356286872.jpg
IMG790356286974.jpg
IMG790356287066.jpg"
550F082D-836D-433B-91A3-AF01354A9222,2026-01-17T17:30:23.092,Ciotola ceramica,,,,,1,,,,,,,,K017,Home,Giappone,BX018,,"IMG790355519769.jpg
IMG790355519842.jpg
IMG790355519923.jpg"
F8A5C34D-49EC-4E5B-877F-551C0D6EB38A,2026-01-17T16:38:16.086,Coppia di piatti,,,,,1,,,,,,,,K025,Home,Giappone,,,"IMG790357041943.jpg
IMG790357042062.jpg
IMG790357042151.jpg"

482F1487-6D0C-48D6-A29D-D41F3466D419,2026-01-18T20:10:48.227,Piatto ceramica rettangolare,,,,,1,,,,,,,,K028,Home,Giappone,BX018,,"IMG790456220274.jpg
IMG790456220351.jpg
IMG790456220438.jpg"
AA3FDCC5-F686-4FDC-9FDB-E50354DBD8FD,2026-01-18T20:10:08.503,Piatto rettangolare ceramica oro,,,,,1,,,,,,,,K027,Home,Giappone,BX018,,"IMG790456071643.jpg
IMG790456071720.jpg
IMG790456071894.jpg
IMG790456071981.jpg"

78DA098A-86C8-4A9E-A526-71B2E1926C27,2026-01-17T17:31:55.989,Set 5 bicchierini in ceramica,,,,,1,,,,,,,,K015,Home,Giappone,BX018,,"IMG790355240828.jpg
IMG790355240908.jpg
IMG790355241022.jpg"
9A403E46-3DBA-4166-92E3-5A184087B1FF,2026-01-17T17:32:24.145,Set 5 ciotoline piccole in ceramica con scatola di legno,,,,,1,,,,,,,,K013,Home,Giappone,BX018,,"IMG790354449803.jpg
IMG790354449871.jpg
IMG790354450059.jpg
IMG790354449992.jpg
IMG790354450153.jpg
IMG790354677050.jpg
IMG790354677116.jpg
IMG790354677191.jpg
IMG790354677270.jpg"
81E2F054-806E-4B2A-A638-174F8EF90E92,2026-01-17T17:32:49.919,Set 5 piattini legno,,,,,1,,,,,,,,K011,Home,Giappone,BX018,,"IMG790353934587.jpg
IMG790353934665.jpg
IMG790353934754.jpg"
1CDE069C-5613-4E90-8D62-307635AE885F,2026-01-17T17:33:09.691,Set 5 piattini legno laccato nero/oro,,,,,1,,,,,,,,K010,Home,Giappone,BX018,,"IMG790353819660.jpg
IMG790353819744.jpg
IMG790353819837.jpg
IMG790353819915.jpg
IMG790353820029.jpg
IMG790353820147.jpg"
26C59843-0401-4AC0-B068-333F3AC2891B,2026-01-17T17:31:22.145,Set 5 poggia hashi (bacchette per mangiare) con scatola in legno,,,,,1,,,,,,,,K020,Home,Giappone,,,"IMG790356110184.jpg
IMG790356110277.jpg
IMG790356110389.jpg"
C2393C24-CDA4-4E22-AE4E-213FA00B9D00,2026-01-17T17:30:58.538,Set 5 poggia hashi (bacchette per mangiare) in ceramica,,,,,1,,,,,,,,K019,Home,Giappone,,,"IMG790355895607.jpg
IMG790355895692.jpg
IMG790355895784.jpg
IMG790355895863.jpg"
75F9DA8B-D792-4E41-AA4E-6C554B095CCD,2026-01-17T17:33:49.933,Set di 5 piattini di carta di riso con foglie,,,,,1,,,,,,,,K008,Home,Giappone,BX018,,"IMG790353483937.jpg
IMG790353484025.jpg
IMG790353484173.jpg"
608F210B-736D-414C-A409-F2B49F807A6F,2026-01-17T17:33:27.948,Set di 5 piattini forma ventaglio in ceramica,,,,,1,,,,,,,,K009,Home,Giappone,BX018,,"IMG790353680455.jpg
IMG790353680568.jpg
IMG790353680657.jpg
IMG790353680746.jpg
IMG790353680832.jpg"

DB06881E-4B42-4EDF-BDE3-F73F417BA341,2026-01-17T17:27:59.225,Vaso ceramica,,,,,1,,,,,,,,K023,Home,Giappone,BX018,,"IMG790356668171.jpg
IMG790356668244.jpg
IMG790356668326.jpg
IMG790356668405.jpg"
FF1B1408-DCE2-4776-B2A9-8621EDA16279,2026-01-17T17:32:10.321,Vaso contenitore per il te in ceramica,,,,,1,,,,,,,,K014,Home,Giappone,BX018,,"IMG790354737862.jpg
IMG790354737936.jpg
IMG790354738014.jpg"
ACEB0EAC-7E8B-4915-9DD9-362FF4C63DF8,2026-01-17T17:28:09.533,Vaso legno laccato con disegni oro,,,,,1,,,,,,,,K022,Home,Giappone,BX018,,"IMG790356447664.jpg
IMG790356447740.jpg
IMG790356447864.jpg
IMG790356447939.jpg"

F15C3600-DA78-4E57-98E7-6D9CF4BC1ED2,2026-01-18T20:07:35.161,Vassoio legno laccato,,,,,1,,,,,,,,K026,Home,Giappone,,,"IMG790456028130.jpg
IMG790456028251.jpg
IMG790456028338.jpg"
E9EE847A-6D10-439E-A260-124EF57FC418,2026-01-17T17:30:03.480,Ventaglio dorato con astuccio in tessuto kimono,,,,,1,,,,,,,,K018,Home,Giappone,BX018,,"IMG790355735769.jpg
IMG790355735892.jpg
IMG790355736017.jpg
IMG790355736107.jpg
IMG790355736195.jpg"
143F6FEC-5B81-42E6-8B09-566389934938,2026-01-18T20:14:48.877,Tavolo ovale fine  700 cm145x117 h78 + 4 sedie,,,,,1,,,,,,,,,Home,Mobili d epoca,,,"IMG790456332484.jpg
IMG790456332603.jpg
IMG790456332732.jpg
IMG790456332853.jpg
IMG790456332981.jpg
IMG790456333114.jpg
IMG790456333198.jpg"
