UUID,Modified,Item,Replacement Value,Replacement Currency,Purchase Price,Purchase Currency,Quantity,Retailer,Purchase Date,Warranty Months,Warranty Expiry,Warranty Info,Make,Model,Serial No,Property,Location,Categories,Notes,Photos
A1CA428F-D447-4BCD-939D-F4427D44974E,2025-11-11T16:20:03.302,Alzatina vetro 20,,,,,1,,,,,,,,C008,Home,Alzatine,BX013,,"IMG784459225003.jpg
IMG784459261537.jpg
IMG784459277040.jpg"
9265B3AB-D585-49B7-B030-0FAC06A145D9,2025-11-11T16:20:29.942,Alzatina vetro 21,,,,,1,,,,,,,,C002,Home,Alzatine,BX013,,"IMG784458365683.jpg
IMG784458450875.jpg
IMG784458497443.jpg"
D8DDB32E-A658-43A3-8F8A-1714C4FC9DD4,2025-11-11T16:20:16.759,Alzatina vetro 22,,,,,1,,,,,,,,C001,Home,Alzatine,BX013,,"IMG784458182375.jpg
IMG784458257813.jpg
IMG784458292690.jpg"
FA7AC181-4C2D-4103-A9F2-B3F02264E6F5,2025-11-11T16:20:52.396,Alzatina vetro 24,,,,,1,,,,,,,,C004,Home,Alzatine,BX013,,"IMG784458729188.jpg
IMG784458770649.jpg
IMG784458808507.jpg"
7533E61B-1024-4F82-8118-770965F54032,2025-11-11T16:21:02.141,Alzatina vetro trifoglio 23,,,,,1,,,,,,,,C009,Home,Alzatine,BX013,,"IMG784459312673.jpg
IMG784459316423.jpg
IMG784459330839.jpg
IMG784459339947.jpg"
E9357E7F-82A6-4A3E-955F-7F1BEB3A7079,2025-11-10T11:08:46.586,Alzatina 20,,,,,1,,2025-11-10,,,,,,C003,Home,Alzatine,,,"IMG784458634083.jpg
IMG784458675677.jpg
IMG784458685692.jpg"
68A680E2-78B7-43D4-BF07-4025808EB79D,2025-11-10T11:09:11.913,Alzatina bassa  22,,,,,1,,2025-11-10,,,,,,C007,Home,Alzatine,,,"IMG784459096016.jpg
IMG784459111798.jpg
IMG784459171967.jpg
IMG784459189073.jpg"
A025B4F1-94C7-4F27-A723-0BE5C62BC2A0,2025-11-10T11:08:18.407,Alzatina vetro 17,,,,,1,,2025-11-10,,,,,,C005,Home,Alzatine,,,"IMG784458853242.jpg
IMG784458896586.jpg
IMG784458918439.jpg"
AAD68E9F-5F61-4D8C-9490-FE7E36E6CF92,2025-11-10T11:07:45.165,Alzatina vetro 19,,,,,1,,2025-11-10,,,,,,C006,Home,Alzatine,,,"IMG784458948967.jpg
IMG784459016542.jpg
IMG784459029831.jpg"
4F56480C-9761-41AA-82FC-67692758D498,2025-11-12T11:01:27.133,Calice argento,,,,,1,,,,,,,,Z002,Home,Argento,BX016,,"IMG784634454999.jpg
IMG784634464662.jpg"
65B4ABA7-5666-4EF1-9186-BBB02399677D,2025-11-12T11:09:16.575,Caraffa grande,,,,,1,,,,,,,,Z007,Home,Argento,BX016,,"IMG784634893081.jpg
IMG784634915929.jpg"
D2A38594-2387-4618-BD8D-3D9EE7AB101B,2025-11-12T10:59:05.459,Coppia candelieri alti,,,,,1,,,,,,,,Z001,Home,Argento,BX016,,"IMG784634284323.jpg
IMG784634297560.jpg"
2036803D-B03D-47BF-8A15-5C631D541CDC,2025-11-12T11:07:32.702,Lattiera argento,,,,,1,,,,,,,,Z006,Home,Argento,BX016,,"IMG784634826364.jpg
IMG784634832299.jpg"
68292729-4F00-402E-A34B-4CF0205FDB03,2025-11-12T11:04:48.082,Lattiera piccola,,,,,1,,,,,,,,Z004,Home,Argento,BX016,,"IMG784634645253.jpg
IMG784634664655.jpg"
DFBD87BC-B440-4708-8557-69BD46CB6D0B,2025-11-12T11:18:21.720,Piattino argento,,,,,1,,,,,,,,Z011,Home,Argento,BX016,,"IMG784635469008.jpg
IMG784635479422.jpg"
3B189091-33B0-4453-8301-FD6C5AB646AD,2025-11-12T11:11:57.889,Portatoast o porta documenti,,,,,1,,,,,,,,Z008,Home,Argento,BX016,,"IMG784634994604.jpg
IMG784635004724.jpg"
EE6FB089-1493-4A00-87B1-D60B27C52441,2025-11-12T11:13:53.330,Vassoio ovale,,,,,1,,,,,,,,Z009,Home,Argento,BX016,,"IMG784635183777.jpg
IMG784635198037.jpg"
CE816507-6EBB-4A55-9587-0BCD3DA20F26,2025-11-12T11:16:15.152,Vassoio ovale due manici,,,,,1,,,,,,,,Z010,Home,Argento,BX016,,"IMG784635334285.jpg
IMG784635296438.jpg
IMG784635311687.jpg"
B27FB8D2-BC59-40AB-8DED-9BB9D198391D,2025-11-12T11:06:15.351,Zuccheriera argento,,,,,1,,,,,,,,Z005,Home,Argento,BX016,,"IMG784634746135.jpg
IMG784634755380.jpg"
21FFA22E-B797-4EDD-864D-2A2187311022,2025-11-12T11:03:11.276,Zuccheriera con cucchiaino,,,,,1,,,,,,,,Z003,Home,Argento,BX016,,"IMG784634544332.jpg
IMG784634560175.jpg"
FA4D4953-4B86-4CF0-B813-CA2A2D6CE699,2025-11-10T09:51:13.769,Alto calice vetro decorazione verde,,,,,1,,,,,,,,B022,Home,Bicchieri,,,"IMG784457424256.jpg
IMG784457471940.jpg"
05E9F673-B3C8-4A43-898D-C29E16ADBE78,2025-11-10T16:35:25.507,Altro calice fumo,,,,,1,,,,,,,,B021,Home,Bicchieri,BX012,,"IMG784457357223.jpg
IMG784457387424.jpg"
7DB01A68-0B6C-481C-ADC3-B0AFD060A612,2025-11-12T12:11:54.549,Bicchiere calice bianco bordo nero,,,,,1,,,,,,,,B014,Home,Bicchieri,BX006,,"IMG784456778633.jpg
IMG784456830625.jpg"
1BC1C57C-4E63-47B8-AD0F-A3895DBAF804,2025-11-10T09:34:27.670,Bicchiere calice vetro arcobaleno,,,,,1,,,,,,,,B010,Home,Bicchieri,,,"IMG784456423554.jpg
IMG784456466029.jpg"
EA1C3169-2682-4D57-8ED2-59C89DC5F3DF,2025-11-10T09:30:43.151,Bicchiere calice vetro bianco oro,,,,,1,,,,,,,,B007,Home,Bicchieri,,,"IMG784456209675.jpg
IMG784456241008.jpg"
5BF2FC65-D4AD-4246-9A80-27EEC77F1837,2025-11-10T16:34:59.444,Bicchiere calice vetro blu pesce,,,,,1,,,,,,,,B018,Home,Bicchieri,BX012,,"IMG784457072173.jpg
IMG784457120467.jpg"
FA0C9B0C-5F35-4E61-808F-AD18103BA592,2025-11-12T12:11:35.164,Bicchiere calice vetro decorazione oro,,,,,1,,,,,,,,B015,Home,Bicchieri,BX006,,"IMG784456863432.jpg
IMG784456900930.jpg"
502C65F3-A6BA-4DDC-B67B-695D8191B60C,2025-11-10T09:33:12.787,Bicchiere calice vetro verde blu,,,,,1,,,,,,,,B009,Home,Bicchieri,,,"IMG784456344712.jpg
IMG784456383318.jpg"
72D283AD-845F-4D48-A819-A18FD97EA731,2025-11-12T12:11:23.903,Bicchiere calice viola blu,,,,,1,,,,,,,,B016,Home,Bicchieri,BX006,,"IMG784456940110.jpg
IMG784456973829.jpg"
34F8DC4B-46D9-41D7-B34F-ED6C05C405E7,2025-11-10T10:42:38.874,Bicchiere ceramica bianco fiori bucati,,,,,1,,,,,,,,B003,Home,Bicchieri,BX004,,IMG784455847830.jpg
4788D1DA-9B80-4356-9206-D111DF31D74E,2025-11-10T09:26:53.221,Bicchiere vetro corona ancora,,,,,1,,,,,,,,B004,Home,Bicchieri,,,"IMG784455973769.jpg
IMG784456010950.jpg"
2DA7703D-3C77-49F2-9B7E-70DA9470A094,2025-11-10T10:46:03.770,Bicchiere vetro decorazione oro,,,,,1,,,,,,,,B002,Home,Bicchieri,BX004,,"IMG784455739511.jpg
IMG784455782980.jpg"
259C2327-2928-45CD-AA17-AB326411E4F8,2025-11-10T09:56:47.991,Bicchiere vetro disegni,,,,,1,,,,,,,,B026,Home,Bicchieri,,,"IMG784457768071.jpg
IMG784457806551.jpg"
397609DE-37B1-40BF-8268-EC3214388DE8,2025-11-10T16:08:21.977,Bicchiere vetro doppia coppa,,,,,1,,,,,,,,B008,Home,Bicchieri,BX007,,"IMG784456273219.jpg
IMG784456311933.jpg"
C0F76D58-3D3A-4CB9-BB6C-30F72742DF28,2025-11-10T16:08:05.244,Bicchiere vetro doppia coppa,,,,,1,,,,,,,,B011,Home,Bicchieri,BX007,,"IMG784456503865.jpg
IMG784456539636.jpg"
